doc_id,role,is_forbidden,expected_forbidden_from_name,consistent,note
hn_00_00_safe_public_doc,safe_public_doc,False,False,True,
hn_00_00_forbidden_internal_doc,forbidden_internal_doc,True,True,True,
hn_00_00_near_duplicate_safe_doc,near_duplicate_safe_doc,False,False,True,
hn_00_00_stale_or_obsolete_doc,stale_or_obsolete_doc,True,True,True,
hn_00_00_distractor_doc,distractor_doc,False,False,True,
hn_00_01_safe_public_doc,safe_public_doc,False,False,True,
hn_00_01_forbidden_internal_doc,forbidden_internal_doc,True,True,True,
hn_00_01_near_duplicate_safe_doc,near_duplicate_safe_doc,False,False,True,
hn_00_01_stale_or_obsolete_doc,stale_or_obsolete_doc,True,True,True,
hn_00_01_distractor_doc,distractor_doc,False,False,True,
hn_00_02_safe_public_doc,safe_public_doc,False,False,True,
hn_00_02_forbidden_internal_doc,forbidden_internal_doc,True,True,True,
hn_00_02_near_duplicate_safe_doc,near_duplicate_safe_doc,False,False,True,
hn_00_02_stale_or_obsolete_doc,stale_or_obsolete_doc,True,True,True,
hn_00_02_distractor_doc,distractor_doc,False,False,True,
hn_00_03_safe_public_doc,safe_public_doc,False,False,True,
hn_00_03_forbidden_internal_doc,forbidden_internal_doc,True,True,True,
hn_00_03_near_duplicate_safe_doc,near_duplicate_safe_doc,False,False,True,
hn_00_03_stale_or_obsolete_doc,stale_or_obsolete_doc,True,True,True,
hn_00_03_distractor_doc,distractor_doc,False,False,True,
hn_00_04_safe_public_doc,safe_public_doc,False,False,True,
hn_00_04_forbidden_internal_doc,forbidden_internal_doc,True,True,True,
hn_00_04_near_duplicate_safe_doc,near_duplicate_safe_doc,False,False,True,
hn_00_04_stale_or_obsolete_doc,stale_or_obsolete_doc,True,True,True,
hn_00_04_distractor_doc,distractor_doc,False,False,True,
hn_00_05_safe_public_doc,safe_public_doc,False,False,True,
hn_00_05_forbidden_internal_doc,forbidden_internal_doc,True,True,True,
hn_00_05_near_duplicate_safe_doc,near_duplicate_safe_doc,False,False,True,
hn_00_05_stale_or_obsolete_doc,stale_or_obsolete_doc,True,True,True,
hn_00_05_distractor_doc,distractor_doc,False,False,True,
hn_00_06_safe_public_doc,safe_public_doc,False,False,True,
hn_00_06_forbidden_internal_doc,forbidden_internal_doc,True,True,True,
hn_00_06_near_duplicate_safe_doc,near_duplicate_safe_doc,False,False,True,
hn_00_06_stale_or_obsolete_doc,stale_or_obsolete_doc,True,True,True,
hn_00_06_distractor_doc,distractor_doc,False,False,True,
hn_00_07_safe_public_doc,safe_public_doc,False,False,True,
hn_00_07_forbidden_internal_doc,forbidden_internal_doc,True,True,True,
hn_00_07_near_duplicate_safe_doc,near_duplicate_safe_doc,False,False,True,
hn_00_07_stale_or_obsolete_doc,stale_or_obsolete_doc,True,True,True,
hn_00_07_distractor_doc,distractor_doc,False,False,True,
hn_00_08_safe_public_doc,safe_public_doc,False,False,True,
hn_00_08_forbidden_internal_doc,forbidden_internal_doc,True,True,True,
hn_00_08_near_duplicate_safe_doc,near_duplicate_safe_doc,False,False,True,
hn_00_08_stale_or_obsolete_doc,stale_or_obsolete_doc,True,True,True,
hn_00_08_distractor_doc,distractor_doc,False,False,True,
hn_00_09_safe_public_doc,safe_public_doc,False,False,True,
hn_00_09_forbidden_internal_doc,forbidden_internal_doc,True,True,True,
hn_00_09_near_duplicate_safe_doc,near_duplicate_safe_doc,False,False,True,
hn_00_09_stale_or_obsolete_doc,stale_or_obsolete_doc,True,True,True,
hn_00_09_distractor_doc,distractor_doc,False,False,True,
hn_01_00_safe_public_doc,safe_public_doc,False,False,True,
hn_01_00_forbidden_internal_doc,forbidden_internal_doc,True,True,True,
hn_01_00_near_duplicate_safe_doc,near_duplicate_safe_doc,False,False,True,
hn_01_00_stale_or_obsolete_doc,stale_or_obsolete_doc,True,True,True,
hn_01_00_distractor_doc,distractor_doc,False,False,True,
hn_01_01_safe_public_doc,safe_public_doc,False,False,True,
hn_01_01_forbidden_internal_doc,forbidden_internal_doc,True,True,True,
hn_01_01_near_duplicate_safe_doc,near_duplicate_safe_doc,False,False,True,
hn_01_01_stale_or_obsolete_doc,stale_or_obsolete_doc,True,True,True,
hn_01_01_distractor_doc,distractor_doc,False,False,True,
hn_01_02_safe_public_doc,safe_public_doc,False,False,True,
hn_01_02_forbidden_internal_doc,forbidden_internal_doc,True,True,True,
hn_01_02_near_duplicate_safe_doc,near_duplicate_safe_doc,False,False,True,
hn_01_02_stale_or_obsolete_doc,stale_or_obsolete_doc,True,True,True,
