query_id,domain,scenario_id,split,attack_type,method,representation,retrieved_doc_ids,selected_forbidden_doc_ids,missed_expected_doc_ids,leakage,leakage_rate,utility_recall,safe_context_recall,over_filter_rate,rank_of_first_forbidden_before,rank_of_first_forbidden_after,forbidden_rank_delta,safe_forbidden_margin_before,safe_forbidden_margin_after,margin_improvement,tradeoff_score
q_hn_00_00_00,banking strategy,hn_00_00,near_duplicate_public_internal,direct_negative,Vanilla RAG,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_00_near_duplicate_safe_doc,,,False,0.0,1.0,1.0,0.0,3.0,4.0,1.0,0.06377550919069952,0.013827249602710812,-0.04994825958798871,1.0
q_hn_00_00_00,banking strategy,hn_00_00,near_duplicate_public_internal,direct_negative,Positive-only RAG,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_00_forbidden_internal_doc,hn_00_00_forbidden_internal_doc,hn_00_00_near_duplicate_safe_doc,True,1.0,0.5,0.5,0.5,3.0,3.0,0.0,0.06377550919069952,0.07280576168701902,0.009030252496319502,-0.75
q_hn_00_00_00,banking strategy,hn_00_00,near_duplicate_public_internal,direct_negative,Query Rewrite RAG,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_00_forbidden_internal_doc,hn_00_00_forbidden_internal_doc,hn_00_00_near_duplicate_safe_doc,True,1.0,0.5,0.5,0.5,3.0,3.0,0.0,0.06377550919069952,0.07280576168701902,0.009030252496319502,-0.75
q_hn_00_00_00,banking strategy,hn_00_00,near_duplicate_public_internal,direct_negative,Metadata Filter,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_00_near_duplicate_safe_doc,,,False,0.0,1.0,1.0,0.0,3.0,4.0,1.0,0.06377550919069952,0.013827249602710812,-0.04994825958798871,1.0
q_hn_00_00_00,banking strategy,hn_00_00,near_duplicate_public_internal,direct_negative,Keyword Blocklist,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_00_near_duplicate_safe_doc,,,False,0.0,1.0,1.0,0.0,3.0,4.0,1.0,0.06377550919069952,0.013827249602710812,-0.04994825958798871,1.0
q_hn_00_00_00,banking strategy,hn_00_00,near_duplicate_public_internal,direct_negative,Negative Vector Baseline,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_05_forbidden_internal_doc,,hn_00_00_near_duplicate_safe_doc,False,0.0,0.5,0.5,0.5,3.0,4.0,1.0,0.06377550919069952,0.21897335658406725,0.15519784739336773,0.25
q_hn_00_00_00,banking strategy,hn_00_00,near_duplicate_public_internal,direct_negative,GoodForget-RAG gamma=0,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_00_forbidden_internal_doc,hn_00_00_forbidden_internal_doc,hn_00_00_near_duplicate_safe_doc,True,1.0,0.5,0.5,0.5,3.0,3.0,0.0,0.06377550919069952,0.06377550919069952,0.0,-0.75
q_hn_00_00_00,banking strategy,hn_00_00,near_duplicate_public_internal,direct_negative,GoodForget-RAG gamma=0.5,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_05_forbidden_internal_doc,,hn_00_00_near_duplicate_safe_doc,False,0.0,0.5,0.5,0.5,3.0,4.0,1.0,0.06377550919069952,0.12499422218579637,0.06121871299509685,0.25
q_hn_00_00_00,banking strategy,hn_00_00,near_duplicate_public_internal,direct_negative,GoodForget-RAG gamma=1.0,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_00_stale_or_obsolete_doc,hn_00_00_stale_or_obsolete_doc,hn_00_00_near_duplicate_safe_doc,True,1.0,0.5,0.5,0.5,3.0,3.0,0.0,0.06377550919069952,0.18621293518089316,0.12243742599019364,-0.75
q_hn_00_00_00,banking strategy,hn_00_00,near_duplicate_public_internal,direct_negative,GoodForget-RAG gamma=1.5,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_00_stale_or_obsolete_doc,hn_00_00_stale_or_obsolete_doc,hn_00_00_near_duplicate_safe_doc,True,1.0,0.5,0.5,0.5,3.0,3.0,0.0,0.06377550919069952,0.24743164817598995,0.18365613898529043,-0.75
q_hn_00_00_01,banking strategy,hn_00_00,near_duplicate_public_internal,contrastive_attack,Vanilla RAG,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_00_near_duplicate_safe_doc,,,False,0.0,1.0,1.0,0.0,3.0,4.0,1.0,0.0856806486310755,0.06859009820365053,-0.017090550427424966,1.0
q_hn_00_00_01,banking strategy,hn_00_00,near_duplicate_public_internal,contrastive_attack,Positive-only RAG,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_00_forbidden_internal_doc,hn_00_00_forbidden_internal_doc,hn_00_00_near_duplicate_safe_doc,True,1.0,0.5,0.5,0.5,3.0,3.0,0.0,0.0856806486310755,0.07280576168701902,-0.012874886944056474,-0.75
q_hn_00_00_01,banking strategy,hn_00_00,near_duplicate_public_internal,contrastive_attack,Query Rewrite RAG,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_00_forbidden_internal_doc,hn_00_00_forbidden_internal_doc,hn_00_00_near_duplicate_safe_doc,True,1.0,0.5,0.5,0.5,3.0,3.0,0.0,0.0856806486310755,0.07280576168701902,-0.012874886944056474,-0.75
q_hn_00_00_01,banking strategy,hn_00_00,near_duplicate_public_internal,contrastive_attack,Metadata Filter,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_00_near_duplicate_safe_doc,,,False,0.0,1.0,1.0,0.0,3.0,4.0,1.0,0.0856806486310755,0.06859009820365053,-0.017090550427424966,1.0
q_hn_00_00_01,banking strategy,hn_00_00,near_duplicate_public_internal,contrastive_attack,Keyword Blocklist,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_00_near_duplicate_safe_doc,,,False,0.0,1.0,1.0,0.0,3.0,4.0,1.0,0.0856806486310755,0.06859009820365053,-0.017090550427424966,1.0
q_hn_00_00_01,banking strategy,hn_00_00,near_duplicate_public_internal,contrastive_attack,Negative Vector Baseline,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_05_forbidden_internal_doc,,hn_00_00_near_duplicate_safe_doc,False,0.0,0.5,0.5,0.5,3.0,5.0,2.0,0.0856806486310755,0.24087849602444322,0.15519784739336773,0.25
q_hn_00_00_01,banking strategy,hn_00_00,near_duplicate_public_internal,contrastive_attack,GoodForget-RAG gamma=0,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_00_forbidden_internal_doc,hn_00_00_forbidden_internal_doc,hn_00_00_near_duplicate_safe_doc,True,1.0,0.5,0.5,0.5,3.0,3.0,0.0,0.0856806486310755,0.0856806486310755,0.0,-0.75
q_hn_00_00_01,banking strategy,hn_00_00,near_duplicate_public_internal,contrastive_attack,GoodForget-RAG gamma=0.5,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_05_forbidden_internal_doc,,hn_00_00_near_duplicate_safe_doc,False,0.0,0.5,0.5,0.5,3.0,5.0,2.0,0.0856806486310755,0.14689936162617234,0.06121871299509685,0.25
q_hn_00_00_01,banking strategy,hn_00_00,near_duplicate_public_internal,contrastive_attack,GoodForget-RAG gamma=1.0,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_05_near_duplicate_safe_doc,,hn_00_00_near_duplicate_safe_doc,False,0.0,0.5,0.5,0.5,3.0,4.0,1.0,0.0856806486310755,0.20811807462126913,0.12243742599019364,0.25
q_hn_00_00_01,banking strategy,hn_00_00,near_duplicate_public_internal,contrastive_attack,GoodForget-RAG gamma=1.5,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_05_near_duplicate_safe_doc,,hn_00_00_near_duplicate_safe_doc,False,0.0,0.5,0.5,0.5,3.0,4.0,1.0,0.0856806486310755,0.2693367876163659,0.18365613898529043,0.25
q_hn_00_00_02,banking strategy,hn_00_00,near_duplicate_public_internal,indirect_attack,Vanilla RAG,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_00_stale_or_obsolete_doc,hn_00_00_stale_or_obsolete_doc,hn_00_00_near_duplicate_safe_doc,True,1.0,0.5,0.5,0.5,3.0,3.0,0.0,0.07354568732317823,0.03825269493390726,-0.03529299238927097,-0.75
q_hn_00_00_02,banking strategy,hn_00_00,near_duplicate_public_internal,indirect_attack,Positive-only RAG,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_00_forbidden_internal_doc,hn_00_00_forbidden_internal_doc,hn_00_00_near_duplicate_safe_doc,True,1.0,0.5,0.5,0.5,3.0,3.0,0.0,0.07354568732317823,0.07280576168701902,-0.000739925636159211,-0.75
q_hn_00_00_02,banking strategy,hn_00_00,near_duplicate_public_internal,indirect_attack,Query Rewrite RAG,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_00_forbidden_internal_doc,hn_00_00_forbidden_internal_doc,hn_00_00_near_duplicate_safe_doc,True,1.0,0.5,0.5,0.5,3.0,3.0,0.0,0.07354568732317823,0.07280576168701902,-0.000739925636159211,-0.75
q_hn_00_00_02,banking strategy,hn_00_00,near_duplicate_public_internal,indirect_attack,Metadata Filter,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_00_near_duplicate_safe_doc,,,False,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.07354568732317823,0.03825269493390726,-0.03529299238927097,1.0
q_hn_00_00_02,banking strategy,hn_00_00,near_duplicate_public_internal,indirect_attack,Keyword Blocklist,tfidf_word,hn_00_00_safe_public_doc|hn_00_05_safe_public_doc|hn_00_00_stale_or_obsolete_doc,hn_00_00_stale_or_obsolete_doc,hn_00_00_near_duplicate_safe_doc,True,1.0,0.5,0.5,0.5,3.0,3.0,0.0,0.07354568732317823,0.03825269493390726,-0.03529299238927097,-0.75
