query_id,domain,split,attack_type,method,representation,selected_forbidden_doc_ids,missed_expected_doc_ids,likely_failure_reason
q_s7_00_00_00,banking strategy,literal,direct_negative,Vanilla RAG,tfidf_word,s7_00_00_d01,s7_00_00_d02,lexical overlap failure
q_s7_00_00_00,banking strategy,literal,direct_negative,Positive-only RAG,tfidf_word,,s7_00_00_d02,representation sensitivity
q_s7_00_00_00,banking strategy,literal,direct_negative,Query Rewrite RAG,tfidf_word,,s7_00_00_d02,representation sensitivity
q_s7_00_00_00,banking strategy,literal,direct_negative,Keyword Blocklist,tfidf_word,,s7_00_00_d02,representation sensitivity
q_s7_00_00_00,banking strategy,literal,direct_negative,Metadata Filter,tfidf_word,,s7_00_00_d02,representation sensitivity
q_s7_00_00_00,banking strategy,literal,direct_negative,GoodForget-RAG,tfidf_word,,s7_00_00_d02,representation sensitivity
q_s7_00_00_00,banking strategy,literal,direct_negative,GoodForget-RAG hard threshold,tfidf_word,,s7_00_00_d00|s7_00_00_d02,threshold too strict
q_s7_00_00_00,banking strategy,literal,direct_negative,Negative Vector Baseline,tfidf_word,,s7_00_00_d02,representation sensitivity
q_s7_00_00_01,banking strategy,paraphrase,paraphrased_negative,Vanilla RAG,tfidf_word,s7_00_00_d01,s7_00_00_d02,lexical overlap failure
q_s7_00_00_01,banking strategy,paraphrase,paraphrased_negative,Positive-only RAG,tfidf_word,,s7_00_00_d02,representation sensitivity
q_s7_00_00_01,banking strategy,paraphrase,paraphrased_negative,Query Rewrite RAG,tfidf_word,,s7_00_00_d02,representation sensitivity
q_s7_00_00_01,banking strategy,paraphrase,paraphrased_negative,Keyword Blocklist,tfidf_word,,s7_00_00_d02,representation sensitivity
q_s7_00_00_01,banking strategy,paraphrase,paraphrased_negative,Metadata Filter,tfidf_word,,s7_00_00_d02,representation sensitivity
q_s7_00_00_01,banking strategy,paraphrase,paraphrased_negative,GoodForget-RAG,tfidf_word,,s7_00_00_d02,representation sensitivity
q_s7_00_00_01,banking strategy,paraphrase,paraphrased_negative,GoodForget-RAG hard threshold,tfidf_word,,s7_00_00_d02,threshold too strict
q_s7_00_00_01,banking strategy,paraphrase,paraphrased_negative,Negative Vector Baseline,tfidf_word,,s7_00_00_d02,representation sensitivity
q_s7_00_00_02,banking strategy,codeword,codeword_attack,Vanilla RAG,tfidf_word,s7_00_00_d01|s7_00_00_d03,s7_00_00_d02,codeword mismatch
q_s7_00_00_02,banking strategy,codeword,codeword_attack,Positive-only RAG,tfidf_word,,s7_00_00_d02,codeword mismatch
q_s7_00_00_02,banking strategy,codeword,codeword_attack,Query Rewrite RAG,tfidf_word,,s7_00_00_d02,codeword mismatch
q_s7_00_00_02,banking strategy,codeword,codeword_attack,Keyword Blocklist,tfidf_word,s7_00_00_d03,s7_00_00_d02,codeword mismatch
q_s7_00_00_02,banking strategy,codeword,codeword_attack,Metadata Filter,tfidf_word,,s7_00_00_d02,codeword mismatch
q_s7_00_00_02,banking strategy,codeword,codeword_attack,GoodForget-RAG,tfidf_word,,s7_00_00_d02,codeword mismatch
q_s7_00_00_02,banking strategy,codeword,codeword_attack,GoodForget-RAG hard threshold,tfidf_word,,s7_00_00_d02,codeword mismatch
q_s7_00_00_02,banking strategy,codeword,codeword_attack,Negative Vector Baseline,tfidf_word,,s7_00_00_d02,codeword mismatch
q_s7_00_01_00,banking strategy,paraphrase,paraphrased_negative,Vanilla RAG,tfidf_word,,s7_00_01_d02,representation sensitivity
q_s7_00_01_00,banking strategy,paraphrase,paraphrased_negative,Positive-only RAG,tfidf_word,,s7_00_01_d02,representation sensitivity
q_s7_00_01_00,banking strategy,paraphrase,paraphrased_negative,Query Rewrite RAG,tfidf_word,,s7_00_01_d02,representation sensitivity
q_s7_00_01_00,banking strategy,paraphrase,paraphrased_negative,Keyword Blocklist,tfidf_word,,s7_00_01_d02,representation sensitivity
q_s7_00_01_00,banking strategy,paraphrase,paraphrased_negative,Metadata Filter,tfidf_word,,s7_00_01_d02,representation sensitivity
q_s7_00_01_00,banking strategy,paraphrase,paraphrased_negative,GoodForget-RAG,tfidf_word,,s7_00_01_d02,representation sensitivity
q_s7_00_01_00,banking strategy,paraphrase,paraphrased_negative,GoodForget-RAG hard threshold,tfidf_word,,s7_00_01_d02,threshold too strict
q_s7_00_01_00,banking strategy,paraphrase,paraphrased_negative,Negative Vector Baseline,tfidf_word,,s7_00_01_d02,representation sensitivity
q_s7_00_01_01,banking strategy,codeword,codeword_attack,Vanilla RAG,tfidf_word,s7_00_01_d03,s7_00_01_d02,codeword mismatch
q_s7_00_01_01,banking strategy,codeword,codeword_attack,Positive-only RAG,tfidf_word,,s7_00_01_d02,codeword mismatch
q_s7_00_01_01,banking strategy,codeword,codeword_attack,Query Rewrite RAG,tfidf_word,,s7_00_01_d02,codeword mismatch
q_s7_00_01_01,banking strategy,codeword,codeword_attack,Keyword Blocklist,tfidf_word,s7_00_01_d03,s7_00_01_d02,codeword mismatch
q_s7_00_01_01,banking strategy,codeword,codeword_attack,Metadata Filter,tfidf_word,,s7_00_01_d02,codeword mismatch
q_s7_00_01_01,banking strategy,codeword,codeword_attack,GoodForget-RAG,tfidf_word,,s7_00_01_d02,codeword mismatch
q_s7_00_01_01,banking strategy,codeword,codeword_attack,GoodForget-RAG hard threshold,tfidf_word,,s7_00_01_d02,codeword mismatch
q_s7_00_01_01,banking strategy,codeword,codeword_attack,Negative Vector Baseline,tfidf_word,,s7_00_01_d02,codeword mismatch
q_s7_00_01_02,banking strategy,literal,contrastive_attack,Vanilla RAG,tfidf_word,s7_00_01_d01,s7_00_01_d00|s7_00_01_d02,lexical overlap failure
q_s7_00_01_02,banking strategy,literal,contrastive_attack,Positive-only RAG,tfidf_word,,s7_00_01_d02,representation sensitivity
q_s7_00_01_02,banking strategy,literal,contrastive_attack,Query Rewrite RAG,tfidf_word,,s7_00_01_d02,representation sensitivity
q_s7_00_01_02,banking strategy,literal,contrastive_attack,Keyword Blocklist,tfidf_word,,s7_00_01_d02,representation sensitivity
q_s7_00_01_02,banking strategy,literal,contrastive_attack,Metadata Filter,tfidf_word,,s7_00_01_d02,representation sensitivity
q_s7_00_01_02,banking strategy,literal,contrastive_attack,GoodForget-RAG,tfidf_word,,s7_00_01_d02,representation sensitivity
q_s7_00_01_02,banking strategy,literal,contrastive_attack,GoodForget-RAG hard threshold,tfidf_word,,s7_00_01_d00,threshold too strict
q_s7_00_01_02,banking strategy,literal,contrastive_attack,Negative Vector Baseline,tfidf_word,,s7_00_01_d02,representation sensitivity
q_s7_00_02_00,banking strategy,codeword,codeword_attack,Vanilla RAG,tfidf_word,s7_00_02_d03,s7_00_02_d00|s7_00_02_d02,codeword mismatch
q_s7_00_02_00,banking strategy,codeword,codeword_attack,Positive-only RAG,tfidf_word,,s7_00_02_d02,codeword mismatch
q_s7_00_02_00,banking strategy,codeword,codeword_attack,Query Rewrite RAG,tfidf_word,,s7_00_02_d02,codeword mismatch
q_s7_00_02_00,banking strategy,codeword,codeword_attack,Keyword Blocklist,tfidf_word,,s7_00_02_d00|s7_00_02_d02,codeword mismatch
q_s7_00_02_00,banking strategy,codeword,codeword_attack,Metadata Filter,tfidf_word,,s7_00_02_d02,codeword mismatch
q_s7_00_02_00,banking strategy,codeword,codeword_attack,GoodForget-RAG,tfidf_word,,s7_00_02_d02,codeword mismatch
q_s7_00_02_00,banking strategy,codeword,codeword_attack,GoodForget-RAG hard threshold,tfidf_word,,s7_00_02_d02,codeword mismatch
q_s7_00_02_00,banking strategy,codeword,codeword_attack,Negative Vector Baseline,tfidf_word,,s7_00_02_d02,codeword mismatch
q_s7_00_02_01,banking strategy,literal,contrastive_attack,Vanilla RAG,tfidf_word,s7_00_02_d01,s7_00_02_d00|s7_00_02_d02,lexical overlap failure
q_s7_00_02_01,banking strategy,literal,contrastive_attack,Positive-only RAG,tfidf_word,,s7_00_02_d02,representation sensitivity
q_s7_00_02_01,banking strategy,literal,contrastive_attack,Query Rewrite RAG,tfidf_word,,s7_00_02_d02,representation sensitivity
q_s7_00_02_01,banking strategy,literal,contrastive_attack,Keyword Blocklist,tfidf_word,,s7_00_02_d00|s7_00_02_d02,representation sensitivity
q_s7_00_02_01,banking strategy,literal,contrastive_attack,Metadata Filter,tfidf_word,,s7_00_02_d00|s7_00_02_d02,representation sensitivity
q_s7_00_02_01,banking strategy,literal,contrastive_attack,GoodForget-RAG,tfidf_word,,s7_00_02_d02,representation sensitivity
q_s7_00_02_01,banking strategy,literal,contrastive_attack,GoodForget-RAG hard threshold,tfidf_word,,s7_00_02_d02,threshold too strict
q_s7_00_02_01,banking strategy,literal,contrastive_attack,Negative Vector Baseline,tfidf_word,,s7_00_02_d02,representation sensitivity
q_s7_00_02_02,banking strategy,paraphrase,indirect_attack,Vanilla RAG,tfidf_word,s7_00_02_d03,s7_00_02_d00|s7_00_02_d02,lexical overlap failure
q_s7_00_02_02,banking strategy,paraphrase,indirect_attack,Positive-only RAG,tfidf_word,,s7_00_02_d02,representation sensitivity
q_s7_00_02_02,banking strategy,paraphrase,indirect_attack,Query Rewrite RAG,tfidf_word,,s7_00_02_d02,representation sensitivity
q_s7_00_02_02,banking strategy,paraphrase,indirect_attack,Keyword Blocklist,tfidf_word,,s7_00_02_d00|s7_00_02_d02,representation sensitivity
q_s7_00_02_02,banking strategy,paraphrase,indirect_attack,Metadata Filter,tfidf_word,,s7_00_02_d02,representation sensitivity
q_s7_00_02_02,banking strategy,paraphrase,indirect_attack,GoodForget-RAG,tfidf_word,,s7_00_02_d02,representation sensitivity
q_s7_00_02_02,banking strategy,paraphrase,indirect_attack,GoodForget-RAG hard threshold,tfidf_word,,s7_00_02_d02,threshold too strict
q_s7_00_02_02,banking strategy,paraphrase,indirect_attack,Negative Vector Baseline,tfidf_word,,s7_00_02_d02,representation sensitivity
q_s7_00_03_00,banking strategy,literal,contrastive_attack,Vanilla RAG,tfidf_word,s7_00_03_d01,s7_00_03_d00|s7_00_03_d02,lexical overlap failure
q_s7_00_03_00,banking strategy,literal,contrastive_attack,Positive-only RAG,tfidf_word,,s7_00_03_d00|s7_00_03_d02,representation sensitivity
q_s7_00_03_00,banking strategy,literal,contrastive_attack,Query Rewrite RAG,tfidf_word,,s7_00_03_d00|s7_00_03_d02,representation sensitivity
q_s7_00_03_00,banking strategy,literal,contrastive_attack,Keyword Blocklist,tfidf_word,s7_00_03_d03,s7_00_03_d00|s7_00_03_d02,lexical overlap failure
q_s7_00_03_00,banking strategy,literal,contrastive_attack,Metadata Filter,tfidf_word,,s7_00_03_d00|s7_00_03_d02,representation sensitivity
q_s7_00_03_00,banking strategy,literal,contrastive_attack,GoodForget-RAG,tfidf_word,,s7_00_03_d00|s7_00_03_d02,representation sensitivity
